symbol,timeframe,type,entry_time,entry_price,exit_time,exit_price,reason,pnl,duration
ZEC/USDT,1d,SHORT,2025-03-21 00:00:00,30.85,2025-03-23 00:00:00,30.85,SL_BE,0.005826730280311607,2
SHIB/USDT,1d,LONG,2023-12-16 00:00:00,1.16e-05,2023-12-17 00:00:00,1.1163012059593571e-05,TP2,-0.03767137417296805,1
SHIB/USDT,1d,SHORT,2025-01-19 00:00:00,2.034e-05,2025-01-20 00:00:00,1.9712875335324396e-05,TP2,0.030832087742163325,1
SHIB/USDT,1d,SHORT,2025-08-25 00:00:00,1.204e-05,2025-09-01 00:00:00,1.2176666666666666e-05,TP2,-0.011351052048726452,7
SHIB/USDT,1d,SHORT,2025-10-14 00:00:00,1.074e-05,2025-11-01 00:00:00,1.014e-05,TP2,0.06700679285765729,18
DOT/USDT,1d,SHORT,2025-02-24 00:00:00,4.416,2025-02-25 00:00:00,4.2869116486508165,TP2,0.029231963620739092,1
DOT/USDT,1d,SHORT,2025-02-28 00:00:00,4.712,2025-03-01 00:00:00,4.669333333333333,TP1+TP2,0.009054895302773007,1
DOT/USDT,1d,SHORT,2025-04-13 00:00:00,3.668,2025-04-17 00:00:00,3.668,SL_BE,0.012633303082248309,4
UNI/USDT,1d,LONG,2023-11-22 00:00:00,6.109,2023-11-23 00:00:00,6.051320118527162,TP2,-0.009441787767693255,1
UNI/USDT,1d,LONG,2024-10-20 00:00:00,7.76,2024-10-22 00:00:00,8.533181253282892,TP1+TP2,0.0864151450554891,2
UNI/USDT,1d,LONG,2025-08-22 00:00:00,11.438,2025-08-24 00:00:00,11.438,SL_BE,0.0005424161003584172,2
TAO/USDT,1d,SHORT,2025-01-18 00:00:00,457.7,2025-01-20 00:00:00,457.7,SL_BE,0.017304641550826637,2
TAO/USDT,1d,LONG,2025-05-31 00:00:00,430.1,2025-06-01 00:00:00,420.96666666666664,TP1+TP2,-0.021235371619003445,1
TAO/USDT,1d,SHORT,2025-08-24 00:00:00,361.1,2025-08-25 00:00:00,328.2977791114704,TP1+TP2,0.07911695464566186,1
AAVE/USDT,1d,LONG,2023-12-19 00:00:00,101.33,2023-12-20 00:00:00,100.11,SL_VWAP,-0.01203986973255698,1
AAVE/USDT,1d,LONG,2023-12-21 00:00:00,101.71,2023-12-22 00:00:00,98.5,SL_CANDLE,-0.03156031855274795,1
AAVE/USDT,1d,LONG,2025-01-20 00:00:00,337.53,2025-01-21 00:00:00,369.0921164596228,TP2,0.09350907018523633,1
NEAR/USDT,1d,LONG,2023-11-15 00:00:00,1.7,2023-11-16 00:00:00,1.758667277212929,TP2,0.03451016306642887,1
NEAR/USDT,1d,LONG,2023-12-12 00:00:00,2.305,2023-12-13 00:00:00,2.222,SL_CANDLE,-0.03600867678958793,1
NEAR/USDT,1d,LONG,2023-12-16 00:00:00,2.39,2023-12-18 00:00:00,2.16,SL_CANDLE,-0.09623430962343095,2
NEAR/USDT,1d,SHORT,2025-01-16 00:00:00,5.16,2025-01-17 00:00:00,5.36,SL_CANDLE,-0.038759689922480654,1
NEAR/USDT,1d,SHORT,2025-01-19 00:00:00,4.981,2025-01-21 00:00:00,4.981,SL_BE,0.0008876613480907007,2
NEAR/USDT,1d,SHORT,2025-02-24 00:00:00,3.065,2025-02-25 00:00:00,2.8823253913710993,TP2,0.059600198573866434,1
NEAR/USDT,1d,SHORT,2025-08-25 00:00:00,2.398,2025-09-01 00:00:00,2.357333333333333,TP2,0.016958576591604282,7
ETC/USDT,1d,LONG,2023-12-27 00:00:00,22.72,2023-12-28 00:00:00,23.266705756631403,TP2,0.024062753372861092,1
ETC/USDT,1d,LONG,2025-08-22 00:00:00,24.5,2025-08-25 00:00:00,21.07,SL_VWAP,-0.13999999999999999,3
ENA/USDT,1d,LONG,2024-12-20 00:00:00,1.1813,2024-12-21 00:00:00,1.01,SL_VWAP,-0.14500973503767037,1
ENA/USDT,1d,LONG,2025-08-22 00:00:00,0.7533,2025-08-24 00:00:00,0.7533,SL_BE,0.0020617060591951127,2
ENA/USDT,1d,SHORT,2025-11-11 00:00:00,0.3094,2025-11-13 00:00:00,0.29044239391704574,TP2,0.06127215928556648,2
ICP/USDT,1d,LONG,2024-03-11 00:00:00,15.035,2024-03-14 00:00:00,13.337,SL_CANDLE,-0.11293648154306621,3
ICP/USDT,1d,SHORT,2024-10-25 00:00:00,7.706,2024-10-26 00:00:00,7.683480252448417,TP2,0.0029223653713448296,1
ICP/USDT,1d,SHORT,2025-04-14 00:00:00,4.883,2025-04-19 00:00:00,4.883,SL_BE,0.01186732134225175,5
ICP/USDT,1d,SHORT,2025-04-21 00:00:00,4.769,2025-04-22 00:00:00,5.01,SL_CANDLE,-0.0505347032920947,1
ICP/USDT,1d,SHORT,2025-08-24 00:00:00,5.269,2025-08-25 00:00:00,4.8750661940737485,TP1+TP2,0.06336029122556008,1
ICP/USDT,1d,SHORT,2025-09-19 00:00:00,4.722,2025-09-22 00:00:00,4.471472212988823,TP2,0.05305543985836024,3
PEPE/USDT,1d,SHORT,2025-03-13 00:00:00,6.69e-06,2025-03-14 00:00:00,7.06e-06,SL_VWAP,-0.0553064275037369,1
PEPE/USDT,1d,SHORT,2025-08-24 00:00:00,1.083e-05,2025-08-25 00:00:00,9.780357687584683e-06,TP1+TP2,0.08139109456511924,1
